Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;
The Web Service Modeling Language;Semantic Web Services;;;;10.1007/978-3-642-19193-0_8;Prof. Dieter FenselDr. Federico Michele FaccaDr. Elena SimperlIoan Toma;2011;http://link.springer.com/chapter/10.1007/978-3-642-19193-0_8;Chapter;;;;
Conjunctive Query Answering in Finitely-Valued Fuzzy Description Logics;Web Reasoning and Rule Systems;;;;10.1007/978-3-319-11113-1_9;Theofilos MailisRafael Pe«ÒalozaAnni-Yasmin Turhan;2014;http://link.springer.com/chapter/10.1007/978-3-319-11113-1_9;Chapter;;;;
On Using Conceptual Data Modeling for Ontology Engineering;Journal on Data Semantics I;;;;10.1007/978-3-540-39733-5_8;Mustafa JarrarJan DemeyRobert Meersman;2003;http://link.springer.com/chapter/10.1007/978-3-540-39733-5_8;Chapter;;;;
OSM-Logic: A Fact-Oriented; Time-Dependent Formalization of Object-oriented Systems Modeling;Conceptual Modelling and Its Theoretical Foundations;;;10.1007/978-3-642-28279-9_12;Stephen W. ClydeDavid W. EmbleyStephen W. LiddleScott N. Woodfield;2012;http://link.springer.com/chapter/10.1007/978-3-642-28279-9_12;Chapter;;;;
Description Logics as Ontology Languages for the Semantic Web;Mechanizing Mathematical Reasoning;;;;10.1007/978-3-540-32254-2_14;Franz BaaderIan HorrocksUlrike Sattler;2005;http://link.springer.com/chapter/10.1007/978-3-540-32254-2_14;Chapter;;;;
A Knowledge Based Paradigm for Querying Databases;Database and Expert Systems Applications;;;;10.1007/3-540-44469-6_74;Paolo BrescianiMichele NoriNicola Pedot;2000;http://link.springer.com/chapter/10.1007/3-540-44469-6_74;Chapter;;;;
The Web Service Modeling Language WSML: An Overview;The Semantic Web: Research and Applications;;;;10.1007/11762256_43;Jos de BruijnHolger LausenAxel PolleresDieter Fensel;2006;http://link.springer.com/chapter/10.1007/11762256_43;Chapter;;;;
Formal Representation of Fuzzy Data Model Using Description Logic;Computational Science and Its Applications É?? ICCSA 2013;;;;10.1007/978-3-642-39649-6_8;Indira BhattacharyaSoumya K. Ghosh;2013;http://link.springer.com/chapter/10.1007/978-3-642-39649-6_8;Chapter;;;;
Combinations of Modal Logics;Artificial Intelligence Review;;17;1;10.1023/A:1015057926707;Brandon BennettClare DixonMichael FisherUllrich HustadtEnrico FranconiIan HorrocksMaarten de Rijke;2002;http://link.springer.com/article/10.1023/A%3A1015057926707;Article;;;;
Linking Data to Ontologies;Journal on Data Semantics X;;;;10.1007/978-3-540-77688-8_5;Antonella PoggiDomenico LemboDiego CalvaneseGiuseppe De GiacomoMaurizio LenzeriniRiccardo Rosati;2008;http://link.springer.com/chapter/10.1007/978-3-540-77688-8_5;Chapter;;;;
Description Logics;Reasoning Web. Semantic Technologies for Information Systems;;;;10.1007/978-3-642-03754-2_1;Franz Baader;2009;http://link.springer.com/chapter/10.1007/978-3-642-03754-2_1;Chapter;;;;
Dynamic Description Logic Based on DL-Lite;Intelligent Information Processing VII;;;;10.1007/978-3-662-44980-6_19;Na ZhangLiang ChangZhoubo XuTianlong Gu;2014;http://link.springer.com/chapter/10.1007/978-3-662-44980-6_19;Chapter;;;;
Provenance Analysis: A Perspective for Description Logics?;Description Logic; Theory Combination; and All That;;10.1007/978-3-030-22102-7_12;Katrin M. DannertErich Gr«œdel;2019;http://link.springer.com/chapter/10.1007/978-3-030-22102-7_12;Chapter;;;;
Revisiting Grounded Circumscription in Description Logics;Web Reasoning and Rule Systems;;;;10.1007/978-3-319-45276-0_5;Stathis DelivoriasSebastian Rudolph;2016;http://link.springer.com/chapter/10.1007/978-3-319-45276-0_5;Chapter;;;;
Knowledge Based Systems Technology and Applications in Image Retrieval;Intelligent Knowledge-Based Systems;;;;10.1007/978-1-4020-7829-3_11;Eugenio Di SciascioFrancesco M. DoniniMarina Mongiello;2005;http://link.springer.com/chapter/10.1007/978-1-4020-7829-3_11;Chapter;;;;
Description Logics and Specialization for Structured BPMN;Business Process Management Workshops;;;;10.1007/978-3-030-37453-2_3;Alexander BorgidaVarvara KalokyriAm«∏lie Marian;2019;http://link.springer.com/chapter/10.1007/978-3-030-37453-2_3;Chapter;;;;
Description Logics in Ontology Applications;Automated Reasoning with Analytic Tableaux and Related Methods;;;;10.1007/11554554_2;Ian Horrocks;2005;http://link.springer.com/chapter/10.1007/11554554_2;Chapter;;;;
Multidimensional Data Models and Aggregation;Fundamentals of Data Warehouses;;;;10.1007/978-3-662-05153-5_5;Matthias JarkeMaurizio LenzeriniYannis VassiliouPanos Vassiliadis;2003;http://link.springer.com/chapter/10.1007/978-3-662-05153-5_5;Chapter;;;;
Multidimensional Data Models and Aggregation;Fundamentals of Data Warehouses;;;;10.1007/978-3-662-04138-3_5;Matthias JarkeMaurizio LenzeriniYannis VassiliouPanos Vassiliadis;2000;http://link.springer.com/chapter/10.1007/978-3-662-04138-3_5;Chapter;;;;
A Knowledge-Based Query System for Biological Databases;Flexible Query Answering Systems;;;;10.1007/3-540-36109-X_7;Paolo BrescianiPaolo Fontana;2002;http://link.springer.com/chapter/10.1007/3-540-36109-X_7;Chapter;;;;
Schema Evolution and Versioning: A Logical and Computational Characterisation;Database Schema Evolution and Meta-Modeling;;;;10.1007/3-540-48196-6_5;Enrico FranconiFabio GrandiFederica Mandreoli;2001;http://link.springer.com/chapter/10.1007/3-540-48196-6_5;Chapter;;;;
On the Use of Description Logic for Semantic Interoperability of Enterprise Systems;On the Move to Meaningful Internet Systems: OTM 2009 Workshops;;;;10.1007/978-3-642-05290-3_31;Esma YahiaJing YangAlexis AubryHerv«∏ Panetto;2009;http://link.springer.com/chapter/10.1007/978-3-642-05290-3_31;Chapter;;;;
A Description Logic for InferenceNet.Br;Computational Processing of the Portuguese Language;;;;10.1007/978-3-642-28885-2_34;Wellington FrancoThiago AlvesHenrique VianaJo«úo Alc«Ωntara;2012;http://link.springer.com/chapter/10.1007/978-3-642-28885-2_34;Chapter;;;;
How to Decide Query Containment under Constraints Using a Description Logic;Logic for Programming and Automated Reasoning;;;;10.1007/3-540-44404-1_21;Ian HorrocksUlrike SattlerSergio TessarisStephan Tobies;2000;http://link.springer.com/chapter/10.1007/3-540-44404-1_21;Chapter;;;;
Conceptual Schema-Centric Development: A Grand Challenge for Information Systems Research;Advanced Information Systems Engineering;;;;10.1007/11431855_1;Antoni Oliv«∏;2005;http://link.springer.com/chapter/10.1007/11431855_1;Chapter;;;;
A hybrid reasoning system for terminologies and first-order clauses in knowledge bases;New Generation Computing;;24;1;10.1007/BF03037292;Ken Kaneiwa;2006;http://link.springer.com/article/10.1007/BF03037292;Article;;;;
Conceptual Graph: An Approach to Improve Quality of Business Services Modeling;Web Information Systems Engineering É?? WISE 2013 Workshops;;;;10.1007/978-3-642-54370-8_20;Xiaofeng DuWilliam W. Song;2014;http://link.springer.com/chapter/10.1007/978-3-642-54370-8_20;Chapter;;;;
Integration Proposal for Description Logic and Attributive Logic∂ˇÉ?? Towards Semantic Web Rules;Transactions on Computational Collective Intelligence II;;;;10.1007/978-3-642-17155-0_1;Grzegorz J. NalepaWeronika T. Furmaè?ska;2010;http://link.springer.com/chapter/10.1007/978-3-642-17155-0_1;Chapter;;;;
On the Undecidability of Fuzzy Description Logics with GCIs and Product T-norm;Frontiers of Combining Systems;;;;10.1007/978-3-642-24364-6_5;Franz BaaderRafael Pe«Òaloza;2011;http://link.springer.com/chapter/10.1007/978-3-642-24364-6_5;Chapter;;;;
A Semantic Approach for Schema Evolution and Versioning in Object-Oriented Databases;Computational Logic É?? CL 2000;;;;10.1007/3-540-44957-4_70;Enrico FranconiFabio GrandiFederica Mandreoli;2000;http://link.springer.com/chapter/10.1007/3-540-44957-4_70;Chapter;;;;
Modeling and Representing Structures for Analyzing Spatial Organization in Agronomy;Conceptual Structures for Knowledge Creation and Communication;;;;10.1007/978-3-540-45091-7_15;Jean-Luc MetzgerFlorence Le BerAmedeo Napoli;2003;http://link.springer.com/chapter/10.1007/978-3-540-45091-7_15;Chapter;;;;
Modularization;Information Sharing on the Semantic Web;;;;10.1007/3-540-26907-X_10;;2005;http://link.springer.com/chapter/10.1007/3-540-26907-X_10;Chapter;;;;
Reasoning about Duplicate Elimination with Description Logic;Computational Logic É?? CL 2000;;;;10.1007/3-540-44957-4_68;Vitaliy L. KhizderDavid TomanGrant Weddell;2000;http://link.springer.com/chapter/10.1007/3-540-44957-4_68;Chapter;;;;
Spatio-temporal Schema Integration with Validation: A Practical Approach;On the Move to Meaningful Internet Systems 2005: OTM 2005 Workshops;;;;10.1007/11575863_125;A. SotnykovaN. CullotC. Vangenot;2005;http://link.springer.com/chapter/10.1007/11575863_125;Chapter;;;;
